ink,text,subj,RT
B,緑,10,496
B,緑,10,496
B,赤,10,427
G,緑,10,451
R,青,10,370
R,緑,10,484
R,緑,10,484
B,青,10,322
G,緑,10,451
G,青,10,503
G,赤,10,403
G,赤,10,403
B,赤,10,427
R,青,10,370
R,赤,10,389
G,青,10,503
B,緑,10,496
R,赤,10,389
R,赤,10,389
B,青,10,322
B,赤,10,427
R,青,10,370
G,青,10,503
B,青,10,322
G,赤,10,403
R,緑,10,484
G,緑,10,451
B,緑,10,496
B,緑,10,496
B,赤,10,427
G,緑,10,451
R,青,10,370
R,緑,10,484
R,緑,10,484
B,青,10,322
G,緑,10,451
G,青,10,503
G,赤,10,403
G,赤,10,403
B,赤,10,427
R,青,10,370
R,赤,10,389
G,青,10,503
B,緑,10,496
R,赤,10,389
R,赤,10,389
B,青,10,322
B,赤,10,427
R,青,10,370
G,青,10,503
B,青,10,322
G,赤,10,403
R,緑,10,484
G,緑,10,451
