ink,text,subj,RT
B,緑,16,494
B,緑,16,494
B,赤,16,504
G,緑,16,375
R,青,16,400
R,緑,16,423
R,緑,16,423
B,青,16,328
G,緑,16,375
G,青,16,411
G,赤,16,525
G,赤,16,525
B,赤,16,504
R,青,16,400
R,赤,16,349
G,青,16,411
B,緑,16,494
R,赤,16,349
R,赤,16,349
B,青,16,328
B,赤,16,504
R,青,16,400
G,青,16,411
B,青,16,328
G,赤,16,525
R,緑,16,423
G,緑,16,375
B,緑,16,494
B,緑,16,494
B,赤,16,504
G,緑,16,375
R,青,16,400
R,緑,16,423
R,緑,16,423
B,青,16,328
G,緑,16,375
G,青,16,411
G,赤,16,525
G,赤,16,525
B,赤,16,504
R,青,16,400
R,赤,16,349
G,青,16,411
B,緑,16,494
R,赤,16,349
R,赤,16,349
B,青,16,328
B,赤,16,504
R,青,16,400
G,青,16,411
B,青,16,328
G,赤,16,525
R,緑,16,423
G,緑,16,375
