ink,text,subj,RT
B,緑,4,501
B,緑,4,501
B,赤,4,445
G,緑,4,413
R,青,4,376
R,緑,4,506
R,緑,4,506
B,青,4,356
G,緑,4,413
G,青,4,468
G,赤,4,561
G,赤,4,561
B,赤,4,445
R,青,4,376
R,赤,4,317
G,青,4,468
B,緑,4,501
R,赤,4,317
R,赤,4,317
B,青,4,356
B,赤,4,445
R,青,4,376
G,青,4,468
B,青,4,356
G,赤,4,561
R,緑,4,506
G,緑,4,413
B,緑,4,501
B,緑,4,336
B,赤,4,445
G,緑,4,413
R,青,4,376
R,緑,4,506
R,緑,4,506
B,青,4,356
G,緑,4,413
G,青,4,468
G,赤,4,561
G,赤,4,561
B,赤,4,445
R,青,4,376
R,赤,4,317
G,青,4,468
B,緑,4,501
R,赤,4,317
R,赤,4,317
B,青,4,356
B,赤,4,445
R,青,4,376
G,青,4,468
B,青,4,750
G,赤,4,561
R,緑,4,506
G,緑,4,265
