ink,text,subj,RT
B,緑,12,418
B,緑,12,418
B,赤,12,417
G,緑,12,348
R,青,12,516
R,緑,12,470
R,緑,12,470
B,青,12,422
G,緑,12,348
G,青,12,580
G,赤,12,492
G,赤,12,492
B,赤,12,417
R,青,12,516
R,赤,12,283
G,青,12,580
B,緑,12,418
R,赤,12,283
R,赤,12,283
B,青,12,422
B,赤,12,417
R,青,12,516
G,青,12,580
B,青,12,422
G,赤,12,319
R,緑,12,470
G,緑,12,348
B,緑,12,418
B,緑,12,418
B,赤,12,417
G,緑,12,348
R,青,12,516
R,緑,12,470
R,緑,12,470
B,青,12,422
G,緑,12,348
G,青,12,580
G,赤,12,492
G,赤,12,492
B,赤,12,417
R,青,12,516
R,赤,12,283
G,青,12,580
B,緑,12,418
R,赤,12,283
R,赤,12,283
B,青,12,422
B,赤,12,417
R,青,12,516
G,青,12,580
B,青,12,422
G,赤,12,492
R,緑,12,470
G,緑,12,204
