ink,text,subj,RT
B,緑,3,469
B,緑,3,469
B,赤,3,439
G,緑,3,233
R,青,3,402
R,緑,3,415
R,緑,3,415
B,青,3,456
G,緑,3,350
G,青,3,997
G,赤,3,565
G,赤,3,565
B,赤,3,439
R,青,3,402
R,赤,3,344
G,青,3,571
B,緑,3,469
R,赤,3,344
R,赤,3,344
B,青,3,456
B,赤,3,439
R,青,3,402
G,青,3,571
B,青,3,456
G,赤,3,565
R,緑,3,415
G,緑,3,350
B,緑,3,469
B,緑,3,774
B,赤,3,439
G,緑,3,350
R,青,3,402
R,緑,3,415
R,緑,3,415
B,青,3,456
G,緑,3,350
G,青,3,571
G,赤,3,565
G,赤,3,565
B,赤,3,439
R,青,3,402
R,赤,3,344
G,青,3,571
B,緑,3,469
R,赤,3,344
R,赤,3,924
B,青,3,456
B,赤,3,439
R,青,3,402
G,青,3,1404
B,青,3,456
G,赤,3,565
R,緑,3,415
G,緑,3,350
