ink,text,subj,RT
B,緑,18,564
B,緑,18,1339
B,赤,18,553
G,緑,18,473
R,青,18,418
R,緑,18,521
R,緑,18,521
B,青,18,421
G,緑,18,473
G,青,18,541
G,赤,18,517
G,赤,18,517
B,赤,18,553
R,青,18,418
R,赤,18,393
G,青,18,541
B,緑,18,564
R,赤,18,393
R,赤,18,393
B,青,18,421
B,赤,18,553
R,青,18,418
G,青,18,541
B,青,18,421
G,赤,18,1215
R,緑,18,521
G,緑,18,473
B,緑,18,564
B,緑,18,564
B,赤,18,553
G,緑,18,473
R,青,18,418
R,緑,18,521
R,緑,18,521
B,青,18,421
G,緑,18,473
G,青,18,1410
G,赤,18,517
G,赤,18,517
B,赤,18,1058
R,青,18,418
R,赤,18,393
G,青,18,541
B,緑,18,564
R,赤,18,393
R,赤,18,393
B,青,18,421
B,赤,18,553
R,青,18,418
G,青,18,541
B,青,18,421
G,赤,18,517
R,緑,18,521
G,緑,18,473
