ink,text,subj,RT
B,緑,6,519
B,緑,6,519
B,赤,6,439
G,緑,6,311
R,青,6,505
R,緑,6,451
R,緑,6,451
B,青,6,365
G,緑,6,1042
G,青,6,479
G,赤,6,467
G,赤,6,346
B,赤,6,281
R,青,6,505
R,赤,6,1007
G,青,6,479
B,緑,6,1010
R,赤,6,269
R,赤,6,269
B,青,6,365
B,赤,6,439
R,青,6,342
G,青,6,479
B,青,6,365
G,赤,6,467
R,緑,6,451
G,緑,6,311
B,緑,6,519
B,緑,6,519
B,赤,6,1231
G,緑,6,997
R,青,6,505
R,緑,6,451
R,緑,6,451
B,青,6,365
G,緑,6,311
G,青,6,479
G,赤,6,467
G,赤,6,1049
B,赤,6,439
R,青,6,505
R,赤,6,269
G,青,6,479
B,緑,6,519
R,赤,6,269
R,赤,6,556
B,青,6,365
B,赤,6,1010
R,青,6,505
G,青,6,479
B,青,6,365
G,赤,6,467
R,緑,6,451
G,緑,6,311
