ink,text,subj,RT
B,緑,5,403
B,緑,5,403
B,赤,5,533
G,緑,5,414
R,青,5,485
R,緑,5,466
R,緑,5,466
B,青,5,400
G,緑,5,414
G,青,5,575
G,赤,5,505
G,赤,5,505
B,赤,5,533
R,青,5,485
R,赤,5,336
G,青,5,575
B,緑,5,403
R,赤,5,336
R,赤,5,336
B,青,5,400
B,赤,5,533
R,青,5,485
G,青,5,575
B,青,5,400
G,赤,5,505
R,緑,5,466
G,緑,5,414
B,緑,5,403
B,緑,5,403
B,赤,5,533
G,緑,5,414
R,青,5,485
R,緑,5,466
R,緑,5,466
B,青,5,1231
G,緑,5,414
G,青,5,575
G,赤,5,505
G,赤,5,505
B,赤,5,533
R,青,5,485
R,赤,5,185
G,青,5,575
B,緑,5,403
R,赤,5,336
R,赤,5,336
B,青,5,400
B,赤,5,533
R,青,5,485
G,青,5,575
B,青,5,400
G,赤,5,505
R,緑,5,466
G,緑,5,241
