ink,text,subj,RT
B,緑,20,476
B,緑,20,476
B,赤,20,555
G,緑,20,387
R,青,20,506
R,緑,20,372
R,緑,20,1024
B,青,20,396
G,緑,20,387
G,青,20,405
G,赤,20,482
G,赤,20,1302
B,赤,20,555
R,青,20,506
R,赤,20,336
G,青,20,405
B,緑,20,476
R,赤,20,336
R,赤,20,336
B,青,20,396
B,赤,20,555
R,青,20,506
G,青,20,405
B,青,20,396
G,赤,20,482
R,緑,20,372
G,緑,20,387
B,緑,20,476
B,緑,20,476
B,赤,20,555
G,緑,20,387
R,青,20,506
R,緑,20,372
R,緑,20,372
B,青,20,396
G,緑,20,387
G,青,20,405
G,赤,20,482
G,赤,20,482
B,赤,20,555
R,青,20,506
R,赤,20,336
G,青,20,405
B,緑,20,476
R,赤,20,336
R,赤,20,336
B,青,20,396
B,赤,20,555
R,青,20,506
G,青,20,405
B,青,20,396
G,赤,20,482
R,緑,20,372
G,緑,20,387
