ink,text,subj,RT
B,緑,9,378
B,緑,9,537
B,赤,9,507
G,緑,9,465
R,青,9,361
R,緑,9,353
R,緑,9,495
B,青,9,362
G,緑,9,465
G,青,9,511
G,赤,9,549
G,赤,9,549
B,赤,9,324
R,青,9,361
R,赤,9,447
G,青,9,511
B,緑,9,537
R,赤,9,447
R,赤,9,447
B,青,9,362
B,赤,9,507
R,青,9,361
G,青,9,511
B,青,9,362
G,赤,9,549
R,緑,9,495
G,緑,9,465
B,緑,9,537
B,緑,9,343
B,赤,9,507
G,緑,9,465
R,青,9,258
R,緑,9,495
R,緑,9,495
B,青,9,362
G,緑,9,465
G,青,9,511
G,赤,9,549
G,赤,9,549
B,赤,9,507
R,青,9,361
R,赤,9,447
G,青,9,344
B,緑,9,537
R,赤,9,447
R,赤,9,447
B,青,9,362
B,赤,9,507
R,青,9,361
G,青,9,511
B,青,9,184
G,赤,9,549
R,緑,9,372
G,緑,9,465
