ink,text,subj,RT
B,緑,11,567
B,緑,11,567
B,赤,11,462
G,緑,11,378
R,青,11,500
R,緑,11,365
R,緑,11,365
B,青,11,326
G,緑,11,378
G,青,11,566
G,赤,11,589
G,赤,11,589
B,赤,11,462
R,青,11,500
R,赤,11,369
G,青,11,566
B,緑,11,567
R,赤,11,369
R,赤,11,369
B,青,11,326
B,赤,11,462
R,青,11,500
G,青,11,566
B,青,11,326
G,赤,11,589
R,緑,11,365
G,緑,11,378
B,緑,11,567
B,緑,11,567
B,赤,11,462
G,緑,11,378
R,青,11,500
R,緑,11,365
R,緑,11,365
B,青,11,326
G,緑,11,378
G,青,11,566
G,赤,11,589
G,赤,11,589
B,赤,11,462
R,青,11,500
R,赤,11,369
G,青,11,566
B,緑,11,567
R,赤,11,369
R,赤,11,369
B,青,11,326
B,赤,11,462
R,青,11,500
G,青,11,566
B,青,11,326
G,赤,11,589
R,緑,11,365
G,緑,11,378
