ink,text,subj,RT
B,緑,14,414
B,緑,14,414
B,赤,14,512
G,緑,14,439
R,青,14,547
R,緑,14,334
R,緑,14,523
B,青,14,228
G,緑,14,439
G,青,14,525
G,赤,14,497
G,赤,14,497
B,赤,14,512
R,青,14,547
R,赤,14,426
G,青,14,525
B,緑,14,414
R,赤,14,426
R,赤,14,426
B,青,14,422
B,赤,14,360
R,青,14,381
G,青,14,329
B,青,14,422
G,赤,14,350
R,緑,14,383
G,緑,14,439
B,緑,14,414
B,緑,14,414
B,赤,14,512
G,緑,14,439
R,青,14,547
R,緑,14,523
R,緑,14,523
B,青,14,422
G,緑,14,439
G,青,14,525
G,赤,14,497
G,赤,14,497
B,赤,14,512
R,青,14,547
R,赤,14,426
G,青,14,525
B,緑,14,414
R,赤,14,426
R,赤,14,426
B,青,14,422
B,赤,14,512
R,青,14,547
G,青,14,366
B,青,14,422
G,赤,14,497
R,緑,14,523
G,緑,14,439
