ink,text,subj,RT
B,緑,7,442
B,緑,7,442
B,赤,7,585
G,緑,7,345
R,青,7,512
R,緑,7,501
R,緑,7,501
B,青,7,468
G,緑,7,472
G,青,7,476
G,赤,7,411
G,赤,7,411
B,赤,7,585
R,青,7,512
R,赤,7,342
G,青,7,476
B,緑,7,442
R,赤,7,342
R,赤,7,342
B,青,7,468
B,赤,7,585
R,青,7,512
G,青,7,476
B,青,7,468
G,赤,7,411
R,緑,7,501
G,緑,7,472
B,緑,7,311
B,緑,7,442
B,赤,7,585
G,緑,7,472
R,青,7,512
R,緑,7,501
R,緑,7,501
B,青,7,468
G,緑,7,472
G,青,7,476
G,赤,7,411
G,赤,7,291
B,赤,7,585
R,青,7,512
R,赤,7,342
G,青,7,476
B,緑,7,442
R,赤,7,342
R,赤,7,342
B,青,7,468
B,赤,7,585
R,青,7,512
G,青,7,476
B,青,7,468
G,赤,7,411
R,緑,7,501
G,緑,7,295
