ink,text,subj,RT
B,緑,1,415
B,緑,1,415
B,赤,1,530
G,緑,1,1305
R,青,1,425
R,緑,1,536
R,緑,1,536
B,青,1,798
G,緑,1,402
G,青,1,946
G,赤,1,557
G,赤,1,557
B,赤,1,991
R,青,1,425
R,赤,1,314
G,青,1,407
B,緑,1,1081
R,赤,1,314
R,赤,1,314
B,青,1,1289
B,赤,1,530
R,青,1,425
G,青,1,407
B,青,1,372
G,赤,1,557
R,緑,1,536
G,緑,1,402
B,緑,1,415
B,緑,1,415
B,赤,1,530
G,緑,1,657
R,青,1,425
R,緑,1,536
R,緑,1,536
B,青,1,372
G,緑,1,402
G,青,1,407
G,赤,1,557
G,赤,1,557
B,赤,1,530
R,青,1,425
R,赤,1,314
G,青,1,407
B,緑,1,415
R,赤,1,314
R,赤,1,314
B,青,1,372
B,赤,1,530
R,青,1,425
G,青,1,407
B,青,1,372
G,赤,1,557
R,緑,1,1191
G,緑,1,402
