ink,text,subj,RT
B,緑,19,467
B,緑,19,467
B,赤,19,579
G,緑,19,327
R,青,19,1162
R,緑,19,439
R,緑,19,439
B,青,19,375
G,緑,19,327
G,青,19,485
G,赤,19,902
G,赤,19,437
B,赤,19,579
R,青,19,535
R,赤,19,327
G,青,19,485
B,緑,19,467
R,赤,19,327
R,赤,19,327
B,青,19,375
B,赤,19,579
R,青,19,535
G,青,19,485
B,青,19,375
G,赤,19,437
R,緑,19,439
G,緑,19,327
B,緑,19,467
B,緑,19,467
B,赤,19,579
G,緑,19,327
R,青,19,535
R,緑,19,439
R,緑,19,439
B,青,19,937
G,緑,19,327
G,青,19,485
G,赤,19,437
G,赤,19,437
B,赤,19,579
R,青,19,535
R,赤,19,327
G,青,19,485
B,緑,19,467
R,赤,19,327
R,赤,19,327
B,青,19,375
B,赤,19,579
R,青,19,535
G,青,19,485
B,青,19,375
G,赤,19,437
R,緑,19,1066
G,緑,19,327
