ink,text,subj,RT
B,緑,2,550
B,緑,2,550
B,赤,2,840
G,緑,2,393
R,青,2,776
R,緑,2,509
R,緑,2,509
B,青,2,477
G,緑,2,393
G,青,2,482
G,赤,2,431
G,赤,2,431
B,赤,2,482
R,青,2,503
R,赤,2,270
G,青,2,482
B,緑,2,550
R,赤,2,270
R,赤,2,270
B,青,2,477
B,赤,2,482
R,青,2,503
G,青,2,482
B,青,2,477
G,赤,2,431
R,緑,2,509
G,緑,2,393
B,緑,2,550
B,緑,2,550
B,赤,2,482
G,緑,2,393
R,青,2,503
R,緑,2,509
R,緑,2,509
B,青,2,477
G,緑,2,393
G,青,2,482
G,赤,2,431
G,赤,2,431
B,赤,2,482
R,青,2,503
R,赤,2,270
G,青,2,482
B,緑,2,550
R,赤,2,270
R,赤,2,270
B,青,2,477
B,赤,2,482
R,青,2,503
G,青,2,482
B,青,2,477
G,赤,2,431
R,緑,2,509
G,緑,2,393
