ink,text,subj,RT
B,緑,8,405
B,緑,8,216
B,赤,8,529
G,緑,8,394
R,青,8,996
R,緑,8,441
R,緑,8,441
B,青,8,428
G,緑,8,1354
G,青,8,518
G,赤,8,476
G,赤,8,476
B,赤,8,529
R,青,8,425
R,赤,8,948
G,青,8,416
B,緑,8,405
R,赤,8,1115
R,赤,8,1121
B,青,8,428
B,赤,8,391
R,青,8,734
G,青,8,518
B,青,8,428
G,赤,8,1026
R,緑,8,441
G,緑,8,217
B,緑,8,405
B,緑,8,405
B,赤,8,529
G,緑,8,394
R,青,8,425
R,緑,8,441
R,緑,8,441
B,青,8,428
G,緑,8,394
G,青,8,518
G,赤,8,277
G,赤,8,476
B,赤,8,529
R,青,8,425
R,赤,8,419
G,青,8,366
B,緑,8,405
R,赤,8,419
R,赤,8,245
B,青,8,428
B,赤,8,529
R,青,8,425
G,青,8,518
B,青,8,1394
G,赤,8,476
R,緑,8,283
G,緑,8,394
