ink,text,subj,RT
B,緑,17,549
B,緑,17,549
B,赤,17,455
G,緑,17,460
R,青,17,455
R,緑,17,525
R,緑,17,525
B,青,17,480
G,緑,17,460
G,青,17,468
G,赤,17,420
G,赤,17,420
B,赤,17,455
R,青,17,455
R,赤,17,383
G,青,17,468
B,緑,17,549
R,赤,17,383
R,赤,17,383
B,青,17,480
B,赤,17,455
R,青,17,455
G,青,17,468
B,青,17,480
G,赤,17,420
R,緑,17,525
G,緑,17,460
B,緑,17,549
B,緑,17,549
B,赤,17,455
G,緑,17,460
R,青,17,455
R,緑,17,525
R,緑,17,525
B,青,17,480
G,緑,17,460
G,青,17,468
G,赤,17,420
G,赤,17,420
B,赤,17,455
R,青,17,455
R,赤,17,383
G,青,17,468
B,緑,17,549
R,赤,17,383
R,赤,17,383
B,青,17,480
B,赤,17,455
R,青,17,455
G,青,17,468
B,青,17,480
G,赤,17,420
R,緑,17,525
G,緑,17,460
